INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
1961-015FH,471,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,8/2/2007,88.95,66.79,237,209,,,0,SMALL,5942,1961,15,FH,Y,THOR ABLESTAR DEB,1961-015FH,471
1961-015FJ,472,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,4/26/2003,88.66,66.7,213,203,,,0,SMALL,5942,1961,15,FJ,Y,THOR ABLESTAR DEB,1961-015FJ,472
1961-015FK,473,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,3/2/1972,92.64,67.15,420,388,,,0,,1,1961,15,FK,Y,THOR ABLESTAR DEB,1961-015FK,473
1961-015FL,474,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,94.94,66.23,521,510,,,0,SMALL,8593,1961,15,FL,Y,THOR ABLESTAR DEB,1961-015FL,474
1961-015FM,475,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,101.8,66.23,958,730,,,0,SMALL,8591,1961,15,FM,Y,THOR ABLESTAR DEB,1961-015FM,475
1961-015FN,476,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,4/2/2014,88.97,67.01,240,208,,,0,SMALL,5942,1961,15,FN,Y,THOR ABLESTAR DEB,1961-015FN,476
1961-015FP,477,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,1/18/1982,90.86,66.58,335,299,,,0,SMALL,5942,1961,15,FP,Y,THOR ABLESTAR DEB,1961-015FP,477
1961-015FQ,478,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,98.24,66.07,711,639,,,0,SMALL,8592,1961,15,FQ,Y,THOR ABLESTAR DEB,1961-015FQ,478
1961-015FR,479,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,11/29/2022,96.14,66.68,583,565,,,0,SMALL,8253,1961,15,FR,Y,THOR ABLESTAR DEB,1961-015FR,479
1961-015FS,480,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,100.27,66.24,829,713,,,0,SMALL,8593,1961,15,FS,Y,THOR ABLESTAR DEB,1961-015FS,480
1961-015FT,516,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.46,66,989,856,,,0,MEDIUM,8590,1961,15,FT,Y,THOR ABLESTAR DEB,1961-015FT,516
1961-015FU,530,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,102.95,66.88,953,843,,,0,SMALL,8592,1961,15,FU,Y,THOR ABLESTAR DEB,1961-015FU,530
1961-015FV,531,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,4/15/1971,88.62,66,206,206,,,0,,1,1961,15,FV,Y,THOR ABLESTAR DEB,1961-015FV,531
1961-015FW,537,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,105.6,67.23,1154,891,,,0,SMALL,8593,1961,15,FW,Y,THOR ABLESTAR DEB,1961-015FW,537
1961-015FX,538,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,99.27,67.81,732,716,,,0,SMALL,8591,1961,15,FX,Y,THOR ABLESTAR DEB,1961-015FX,538
1961-015FY,539,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,2/24/1991,89.7,66.91,272,247,,,0,SMALL,5942,1961,15,FY,Y,THOR ABLESTAR DEB,1961-015FY,539
1961-015FZ,540,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,8/20/1991,90.86,66.79,336,297,,,0,SMALL,5942,1961,15,FZ,Y,THOR ABLESTAR DEB,1961-015FZ,540
1961-015G,122,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,97.55,66.75,690,592,,,0,MEDIUM,8591,1961,15,G,Y,THOR ABLESTAR DEB,1961-015G,122
1961-015GA,541,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.94,67.22,1004,886,,,0,SMALL,8559,1961,15,GA,Y,THOR ABLESTAR DEB,1961-015GA,541
1961-015GB,542,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,7/6/1991,90.12,68.07,300,261,,,0,MEDIUM,5942,1961,15,GB,Y,THOR ABLESTAR DEB,1961-015GB,542
1961-015GC,543,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,105.22,67.03,1054,955,,,0,SMALL,8592,1961,15,GC,Y,THOR ABLESTAR DEB,1961-015GC,543
1961-015GD,544,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,106.25,66.87,1192,913,,,0,SMALL,8588,1961,15,GD,Y,THOR ABLESTAR DEB,1961-015GD,544
1961-015GE,545,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,105.13,67.23,1115,885,,,0,SMALL,8589,1961,15,GE,Y,THOR ABLESTAR DEB,1961-015GE,545
1961-015GF,546,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,11/5/2014,89.59,67.14,269,240,,,0,SMALL,5942,1961,15,GF,Y,THOR ABLESTAR DEB,1961-015GF,546
1961-015GG,547,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,11/20/1989,90.67,66.82,315,301,,,0,SMALL,5942,1961,15,GG,Y,THOR ABLESTAR DEB,1961-015GG,547
1961-015GH,548,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,98.1,66.67,741,594,,,0,SMALL,8592,1961,15,GH,Y,THOR ABLESTAR DEB,1961-015GH,548
1961-015GJ,549,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,107.78,66.69,1286,962,,,0,SMALL,8592,1961,15,GJ,Y,THOR ABLESTAR DEB,1961-015GJ,549
1961-015GK,550,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,2/2/1991,90.87,66.99,334,300,,,0,SMALL,5942,1961,15,GK,Y,THOR ABLESTAR DEB,1961-015GK,550
1961-015GL,551,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,2/16/1990,88.12,66.74,187,176,,,0,SMALL,5942,1961,15,GL,Y,THOR ABLESTAR DEB,1961-015GL,551
1961-015GM,552,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,103.25,67.74,991,833,,,0,SMALL,8591,1961,15,GM,Y,THOR ABLESTAR DEB,1961-015GM,552
1961-015GN,556,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,5/28/1990,89.96,67.09,289,256,,,0,SMALL,5942,1961,15,GN,Y,THOR ABLESTAR DEB,1961-015GN,556
1961-015GP,557,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,2/14/1967,91.96,67.49,398,344,,,0,,1,1961,15,GP,Y,THOR ABLESTAR DEB,1961-015GP,557
1961-015GQ,558,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,111.97,65.7,1676,959,,,0,SMALL,8591,1961,15,GQ,Y,THOR ABLESTAR DEB,1961-015GQ,558
1961-015GR,559,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,99.2,66.61,763,678,,,0,SMALL,8590,1961,15,GR,Y,THOR ABLESTAR DEB,1961-015GR,559
1961-015GS,560,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,106.38,67.16,1293,825,,,0,SMALL,8591,1961,15,GS,Y,THOR ABLESTAR DEB,1961-015GS,560
1961-015GT,561,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,116.06,67.75,2006,1001,,,0,MEDIUM,8588,1961,15,GT,Y,THOR ABLESTAR DEB,1961-015GT,561
1961-015GU,643,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,108.05,66.37,1393,880,,,0,SMALL,8591,1961,15,GU,Y,THOR ABLESTAR DEB,1961-015GU,643
1961-015GV,644,DEBRIS,THOR ABLESTAR DEB,US,6/29/1961,AFETR,,105.94,67.1,1144,933,,,0,SMALL,8581,1961,15,GV,Y,THOR ABLESTAR DEB,1961-015GV,644
